agrressive, lawful, dynamic_obstacles, route_completion, off_road_event_time, pedestrian_collision, vehicle_collision, static_obstacle_collision, red_light_violation, stop_sign_violation, speed_limit_violation, right_turns, left_turns, average_speed
0,   0, 90, 1.0,  1.0,  0, 2, 0, 3, 2, 2, 3, 3, 22.809135272787536
0,   0, 90, 0.85, 0.99, 0, 3, 0, 1, 1, 2, 2, 3, 20.304329334223397
0,   5, 90, 1.0,  1.0,  0, 3, 0, 2, 1, 2, 3, 3, 18.30489967525095
0,   5, 90, 1.0,  1.0,  0, 2, 0, 1, 1, 1, 4, 4, 16.76339827727112323
0,  10, 90, 1.0,  0.99, 0, 1, 0, 0, 0, 0, 2, 2, 15.441967733989383
0,  10, 90, 1.0,  1.0,  0, 0, 0, 0, 0, 0, 1, 1, 15.738491749874917
5,   0, 90, 1.0,  1.0,  0, 2, 0, 2, 1, 2, 5, 5, 26.569440410232353
5,   0, 90, 1.0,  0.95, 1, 3, 0, 2, 2, 3, 3, 4, 24.0481080128390184
5,   5, 90, 1.0,  1.0,  0, 4, 0, 1, 1, 2, 3, 3, 24.984494735705187
5,   5, 90, 1.0,  1.0,  1, 1, 0, 1, 1, 2, 2, 2, 22.9032903181089341
5,  10, 90, 1.0,  1.0,  0, 2, 0, 0, 0, 0, 1, 1, 21.16776890090337
5,  10, 90, 1.0,  1.0,  1, 1, 0, 0, 0, 0, 1, 0, 19.758239287927982
10,  0, 90, 0.89, 0.97, 0, 4, 1, 1, 2, 3, 7, 8, 31.001788978617757
10,  0, 90, 0.92, 0.94, 1, 5, 1, 2, 2, 3, 5, 5, 30.957446367757
10,  5, 90, 0.9,  0.93, 0, 3, 0, 1, 2, 2, 5, 6, 28.72787400478493
10,  5, 90, 0.88, 0.82, 0, 4, 0, 2, 1, 3, 3, 4, 27.7491749197419
10, 10, 90, 1.0,  1.0,  0, 2, 0, 0, 0, 1, 3, 4, 24.444049541626818
10, 10, 90, 0.92, 0.97, 1, 4, 0, 0, 1, 1, 6, 5, 23.828148978617757

