agrressive, lawful, dynamic_obstacles, route_completion, off_road_event_time, pedestrian_collision, vehicle_collision, static_obstacle_collision, red_light_violation, stop_sign_violation, speed_limit_violation, right_turns, left_turns, average_speed
0,   0, 0, 1.0,  1.0,  0, 0, 0, 5, 2, 3, 1, 1, 21.97800578265969
0,   0, 0, 1.0,  1.0,  0, 0, 0, 3, 2, 2, 2, 2, 22.118337829288894
0,   5, 0, 1.0,  1.0,  0, 0, 0, 2, 2, 2, 0, 0, 19.203419546605165
0,   5, 0, 1.0,  1.0,  0, 0, 0, 0, 1, 2, 0, 0, 17.715102481094835
0,  10, 0, 1.0,  1.0,  0, 0, 0, 0, 0, 0, 0, 0, 15.59472814607226
0,  10, 0, 1.0,  1.0,  0, 0, 0, 0, 0, 0, 0, 0, 14.763536836626873
5,   0, 0, 1.0,  1.0,  0, 0, 0, 4, 2, 3, 1, 2, 29.327079957693343
5,   0, 0, 1.0,  1.0,  0, 0, 0, 3, 1, 3, 2, 3, 25.747967632022696
5,   5, 0, 1.0,  1.0,  0, 0, 0, 3, 1, 3, 0, 0, 25.90700568079795
5,   5, 0, 1.0,  1.0,  0, 0, 0, 1, 1, 2, 0, 0, 24.7848839717957
5,  10, 0, 1.0,  1.0,  0, 0, 0, 0, 0, 0, 0, 0, 21.295879965671418
5,  10, 0, 1.0,  0.99, 0, 0, 0, 0, 1, 1, 0, 0, 19.967592504864175
10,  0, 0, 0.97, 0.97, 0, 0, 0, 5, 2, 3, 1, 1, 34.70442250881211
10,  0, 0, 0.87, 0.89, 0, 0, 1, 3, 2, 3, 2, 1, 33.662171171227177
10,  5, 0, 1.0,  1.0,  0, 0, 0, 3, 2, 2, 0, 0, 30.575791410314203
10,  5, 0, 0.95, 0.96, 0, 0, 0, 2, 2, 3, 1, 1, 29.65655732015182
10, 10, 0, 1.0,  1.0,  0, 0, 0, 0, 0, 2, 0, 0, 24.526189674275916
10, 10, 0, 1.0,  0.88, 0, 0, 0, 0, 0, 2, 1, 1, 23.787410713748070

