agrressive, lawful, dynamic_obstacles, route_completion, off_road_event_time, pedestrian_collision, vehicle_collision, static_obstacle_collision, red_light_violation, stop_sign_violation, speed_limit_violation, right_turns, left_turns, average_speed
0, 0, 10, 1.0, 1.0, 0, 1, 0, 4, 1, 3, 1, 1, 22.088619458431918
0, 0, 10, 1.0, 1.0, 0, 1, 0, 3, 1, 3, 2, 2, 21.612871415865868
0, 5, 10, 1.0, 1.0, 0, 0, 0, 3, 2, 2, 0, 0, 18.748068163562913
0, 5, 10, 1.0, 1.0, 0, 0, 0, 1, 2, 2, 1, 1, 16.983751896008705
0, 10, 10, 1.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 14.999671587101977
0, 10, 10, 1.0, 0.99, 0, 0, 0, 0, 0, 0, 0, 0, 15.215114571394647
5, 0, 10, 1.0, 1.0, 0, 1, 0, 2, 1, 3, 4, 4, 27.47148614313409
5, 0, 10, 0.98, 0.99, 0, 1, 0, 2, 2, 2, 2, 2, 25.128148841645157
5, 5, 10, 1.0, 1.0, 0, 0, 0, 3, 1, 3, 0, 0, 26.07215116585718
5, 5, 10, 1.0, 1.0, 0, 0, 0, 2, 1, 3, 0, 0, 23.264161312200507
5, 10, 10, 1.0, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 21.516309771296523
5, 10, 10, 0.89, 0.98, 0, 1, 0, 0, 0, 0, 0, 0, 19.820059178151581
10, 0, 10, 1.0, 1.0, 0, 0, 0, 4, 0, 3, 2, 2, 32.65271747009326
10, 0, 10, 0.87, 0.78, 0, 2, 0, 3, 2, 3, 3, 2, 31.563636321123433
10, 5, 10, 1.0, 1.0, 0, 0, 0, 4, 0, 2, 0, 0, 29.801726051374324
10, 5, 10, 1.0, 1.0, 0, 2, 0, 1, 0, 3, 0, 0, 29.26235325325525223
10, 10, 10, 1.0, 1.0, 0, 2, 0, 0, 0, 1, 0, 1, 24.735119979275208
10, 10, 10, 1.0, 0.92, 0, 1, 0, 0, 1, 2, 0, 1, 24.799601684982324
